season,player_code,player_name,team,is_traded,age,age_c,age_c2,pir_lag_raw,pir_lag_shrunk,shrink_w,games_lag,min_lag,el_seasons,league_pir_mean,pir_lag1_season,pir_lag2_season,pir_per_game,min_per_game,games,sum_pir
2018,2100,"DE COLO, NANDO",CSK,False,31,4,16,21.24047976011994,15.46299768079611,0.5652173913043478,52.0,26.76127936031984,2,7.952270977675135,2017.0,2016.0,15.285714285714286,24.573214285714283,28.0,428.0
2018,1887,"LANGFORD, KEITH",PAN,False,35,8,64,21.821428571428573,13.663100575103023,0.4117647058823529,28.0,34.02797619047619,1,7.952270977675135,2016.0,,10.409090909090908,20.059848484848484,22.0,229.0
2018,KVZ,"SHVED, ALEXEY",KHI,False,30,3,9,20.0,13.115583415814363,0.42857142857142855,30.0,32.28944444444444,1,7.952270977675135,2017.0,,23.214285714285715,32.00119047619047,14.0,325.0
2018,1932,"CALATHES, NICK",PAN,False,29,2,4,16.022222222222222,12.694407276017238,0.5876288659793815,57.0,28.360148148148145,2,7.952270977675135,2017.0,2016.0,16.666666666666668,31.063333333333333,30.0,500.0
2018,1133,"SHENGELIA, TORNIKE",BAS,False,27,0,0,15.916912972085385,12.37707208568083,0.5555555555555556,50.0,23.687006020799124,2,7.952270977675135,2017.0,2016.0,14.9375,25.37708333333333,16.0,239.0
2018,3048,"DUNSTON, BRYANT",IST,False,32,5,25,15.293333333333333,12.356908391070053,0.6,60.0,28.62366666666667,2,7.952270977675135,2017.0,2016.0,12.655172413793103,25.135632183908044,29.0,367.0
2018,BWI,"JANKUNAS, PAULIUS",ZAL,False,34,7,49,15.272183908045978,12.314643330118365,0.5959595959595959,59.0,22.772237547892722,2,7.952270977675135,2017.0,2016.0,7.529411764705882,16.0578431372549,17.0,128.0
2018,925,"VESELY, JAN",ULK,False,28,1,1,14.658620689655173,11.893115653787115,0.5876288659793815,57.0,25.880833333333335,2,7.952270977675135,2017.0,2016.0,19.28,26.184,25.0,482.0
2018,AMM,"PRINTEZIS, GEORGIOS",OLY,False,33,6,36,14.984,11.85878710118895,0.5555555555555556,50.0,25.2772,2,7.952270977675135,2017.0,2016.0,12.633333333333333,25.56833333333333,30.0,379.0
2018,TGB,"LLULL, SERGIO",MAD,False,31,4,16,16.703703703703702,11.478967747865752,0.40298507462686567,27.0,27.409259259259255,1,7.952270977675135,2016.0,,9.76,21.57266666666667,25.0,244.0
2018,6614,"SINGLETON, CHRIS",BAR,False,29,2,4,13.813333333333334,11.468908391070055,0.6,60.0,29.424777777777777,2,7.952270977675135,2017.0,2016.0,8.6,24.38222222222222,30.0,258.0
2018,KLT,"HEURTEL, THOMAS",BAR,False,29,2,4,13.719999999999999,11.412908391070054,0.6,60.0,24.696444444444445,2,7.952270977675135,2017.0,2016.0,11.8,21.10388888888889,30.0,354.0
2018,2849,"MELLI, NICOLO",ULK,False,27,0,0,13.620000000000001,11.352908391070056,0.6,60.0,27.204555555555554,2,7.952270977675135,2017.0,2016.0,9.333333333333334,25.912222222222223,30.0,280.0
2018,4888,"CLYBURN, WILL",CSK,False,28,1,1,13.526666666666666,11.296908391070055,0.6,60.0,27.14311111111111,2,7.952270977675135,2017.0,2016.0,18.0,26.93735632183908,29.0,522.0
2018,5927,"AYON, GUSTAVO",MAD,False,33,6,36,14.343333333333334,11.225741940329334,0.5121951219512195,42.0,21.777944444444444,2,7.952270977675135,2017.0,2016.0,14.76923076923077,19.775641025641026,26.0,384.0
2018,848,"NEDOVIC, NEMANJA",MIL,False,27,0,0,16.666666666666668,11.22016936104696,0.375,24.0,25.08125,1,7.952270977675135,2017.0,,10.4,23.467777777777776,15.0,156.0
2018,3120,"GUDAITIS, ARTURAS",MIL,False,25,-2,4,15.413793103448276,11.08827303053631,0.42028985507246375,29.0,20.692528735632184,1,7.952270977675135,2017.0,,18.666666666666668,23.815873015873017,21.0,392.0
2018,7200,"LARKIN, SHANE",IST,False,26,-1,1,14.866666666666667,10.915583415814362,0.42857142857142855,30.0,29.087222222222223,1,7.952270977675135,2016.0,,11.464285714285714,20.47619047619048,28.0,321.0
2018,7201,"VOIGTMANN, JOHANNES",BAS,False,26,-1,1,12.879999999999999,10.908908391070053,0.6,60.0,21.899,2,7.952270977675135,2017.0,2016.0,11.96551724137931,24.109195402298848,29.0,347.0
2018,2507,"TOMIC, ANTE",BAR,False,31,4,16,12.892857142857142,10.85550202319446,0.5876288659793815,57.0,19.879244663382593,2,7.952270977675135,2017.0,2016.0,13.366666666666667,20.37444444444445,30.0,401.0
