bucket,n_games,pir,expected,actual_over_expected
"(0.0, 10.0]",4523,3516.0,11126.32351451645,0.31600734918526274
"(10.0, 15.0]",6876,24607.0,34802.47070722823,0.7070475026616228
"(15.0, 20.0]",11574,80297.0,86083.32713429627,0.9327822549740767
"(20.0, 25.0]",12799,133667.0,128471.30558525918,1.0404424504839545
"(25.0, 30.0]",9680,135162.0,124806.03813146532,1.0829764490851488
"(30.0, 34.0]",3655,62438.0,56492.32936535018,1.1052473973271248
"(34.0, 40.01]",1085,21470.0,19375.20556188436,1.1081172755264388
