Player_ID,name,minutes,rows,seasons,first_season,last_season,is_alnum,code_by_name
PJUJ,"HUERTAS, MARCELINHO",1142.3166666666666,67,2,2017,2018,True,JUJ
PJUO,"SPANOULIS, VASSILIS",3191.5833333333335,138,5,2016,2020,True,JUO
PJUP,"KAIMAKOGLOU, KOSTAS",438.3333333333333,19,1,2016,2016,True,JUP
PJYB,"ERDEN, SEMIH",147.45,10,1,2016,2016,True,JYB
PJZH,"RUDEZ, DAMJAN",127.73333333333333,16,1,2017,2017,True,JZH
PKIR,"KAHUDI, CHARLES",2888.9,157,6,2019,2024,True,KIR
PKIW,"CINCIARINI, ANDREA",1011.2666666666667,123,5,2016,2020,True,KIW
PKJP,"MEKEL, GAL",381.18333333333334,29,1,2016,2016,True,KJP
PKLS,"GUBANOV, PETR",105.05,20,1,2018,2018,True,KLS
PKLT,"HEURTEL, THOMAS",3578.95,171,7,2016,2025,True,KLT
PKNO,"SEIBUTIS, RENALDAS",376.56666666666666,30,1,2016,2016,True,KNO
PKPD,"MILAKNIS, ARTURAS",3930.95,184,6,2016,2021,True,KPD
PKRH,"PERPEROGLOU, STRATOS",672.3,37,2,2016,2019,True,KRH
PKVZ,"SHVED, ALEXEY",3666.7833333333333,120,5,2017,2021,True,KVZ
PLBJ,"STIMAC, VLADIMIR",924.8666666666667,55,2,2017,2019,True,LBJ
PLCZ,"MOTIEJUNAS, DONATAS",2913.883333333333,185,5,2021,2025,True,LCZ
PLDX,"WACZYNSKI, ADAM",511.4166666666667,29,1,2017,2017,True,LDX
PLEM,"RADOSEVIC, LEON",2463.1666666666665,163,6,2016,2021,True,LEM
PLEV,"RABASEDA, XAVIER",556.2166666666667,28,1,2018,2018,True,LEV
PLFW,"RUBIO, RICKY",224.7,13,1,2023,2023,True,LFW
PLHI,"VORONTSEVICH, ANDREY",1982.2833333333333,132,5,2016,2021,True,LHI
PLHK,"PLEISS, TIBOR",4036.8166666666666,269,9,2016,2024,True,LHK
PLIM,"HERSEK, BARIS",14.033333333333333,39,3,2016,2018,True,LIM
PLKX,"PNINI, GUY",367.18333333333334,35,2,2016,2022,True,LKX
PLKY,"KHVOSTOV, DMITRY",374.53333333333336,38,2,2019,2020,True,LKY
PLLH,"FRIDZON, VITALY",842.8166666666667,108,3,2016,2020,True,LLH
PLLM,"VEREMEENKO, VLADIMIR",201.25,25,1,2016,2016,True,LLM
PLME,"MARKOVIC, STEFAN",2145.45,110,4,2017,2022,True,LME
PLMG,"MARJANOVIC, BOBAN",60.45,15,1,2024,2024,True,LMG
PLOO,"FREELAND, JOEL",79.25,20,1,2016,2016,True,LOO
PLQV,"MUTAF, MAXIM",71.75,22,1,2016,2016,True,LQV
PLRQ,"VAN ROSSOM, SAM",1646.8333333333333,79,4,2017,2022,True,LRQ
PLRU,"SIMONOVIC, MARKO",1385.2166666666667,77,3,2016,2021,True,LRU
PLSK,"PANIN, VADIM",474.71666666666664,29,1,2016,2016,True,LSK
PLTF,"SOKOLOV, DMITRY",6.466666666666667,9,1,2017,2017,True,LTF
PLUO,"LAZIC, BRANKO",3483.7,205,8,2016,2024,True,LUO
PLUR,"MUSLI, DEJAN",398.3833333333333,25,1,2017,2017,True,LUR
PLXL,"VENE, SIIM-SANDER",270.56666666666666,18,1,2018,2018,True,LXL
PTFH,"PRELDZIC, EMIR",291.1,19,1,2016,2016,True,TFH
PTFK,"DIOT, ANTOINE",1488.6833333333334,104,4,2019,2022,True,TFK
PTFX,"VOUGIOUKAS, IAN",640.45,95,4,2017,2020,True,TFX
PTGB,"LLULL, SERGIO",5228.066666666667,286,10,2016,2025,True,TGB
