season,club,n_keep,n_lost,lost_minutes,lost_share,lost_ppm_wmean,q_club_pool,q_club_full,handicap,adv_F_pool,adv_F_full,adv_F_spec
2024,ASV,16,0,0.0,0.0,,83.63396176470587,83.63396176470587,0.0,0.1903490256489917,0.1903490256489917,0.1903490256489917
2024,BAR,16,0,0.0,0.0,,97.76470588235294,97.76470588235294,0.0,0.15323117107389628,0.15323117107389628,0.1532311710738962
2024,BAS,15,0,0.0,0.0,,90.02941176470586,90.02941176470586,0.0,0.07624937867160675,0.07624937867160675,0.0762493786716067
2024,BER,20,0,0.0,0.0,,76.6470588235294,76.6470588235294,0.0,0.398245137631106,0.398245137631106,0.3982451376311062
2024,IST,16,0,0.0,0.0,,99.26470588235294,99.26470588235294,0.0,0.09489662997814174,0.09489662997814174,0.0948966299781417
2024,MAD,16,0,0.0,0.0,,90.97403333333334,90.97403333333334,0.0,0.22386923637337586,0.22386923637337586,0.223869236373376
2024,MCO,15,0,0.0,0.0,,90.7029460784314,90.7029460784314,0.0,0.10488696329436942,0.10488696329436942,0.1048869632943696
2024,MIL,18,0,0.0,0.0,,94.0,94.0,0.0,0.1962075544423898,0.1962075544423898,0.1962075544423898
2024,MUN,16,0,0.0,0.0,,90.52941176470587,90.52941176470587,0.0,0.06525142264895711,0.06525142264895711,0.0652514226489568
2024,OLY,17,0,0.0,0.0,,100.02941176470587,100.02941176470587,0.0,0.08727063101083443,0.08727063101083443,0.0872706310108344
2024,PAN,16,0,0.0,0.0,,101.82499607843138,101.82499607843138,0.0,0.07104053009895583,0.07104053009895583,0.0710405300989556
2024,PAR,15,0,0.0,0.0,,88.52941176470587,88.52941176470587,0.0,0.14157262222402855,0.14157262222402855,0.1415726222240285
2024,PRS,15,0,0.0,0.0,,86.94117647058823,86.94117647058823,0.0,0.04989161585984392,0.04989161585984392,0.0498916158598439
2024,RED,14,0,0.0,0.0,,86.61368872549019,86.61368872549019,0.0,0.31057468097653174,0.31057468097653174,0.3105746809765315
2024,TEL,19,0,0.0,0.0,,92.38235294117648,92.38235294117648,0.0,0.1638535911630885,0.1638535911630885,0.1638535911630885
2024,ULK,18,0,0.0,0.0,,87.28462205882353,87.28462205882353,0.0,0.25514167038584845,0.25514167038584845,0.2551416703858487
2024,VIR,14,0,0.0,0.0,,83.09292892156864,83.09292892156864,0.0,0.2167585662807754,0.2167585662807754,0.2167585662807756
2024,ZAL,17,0,0.0,0.0,,75.97058823529412,75.97058823529412,0.0,0.5135722708750945,0.5135722708750945,0.5135722708750945
2025,ASV,15,0,0.0,0.0,,72.80171403508771,72.80171403508771,0.0,0.5710552659607167,0.5710552659607167,0.5710552659607164
2025,BAR,16,0,0.0,0.0,,91.07894736842104,91.07894736842104,0.0,0.325934213198938,0.325934213198938,0.3259342131989382
2025,BAS,19,0,0.0,0.0,,92.47368421052632,92.47368421052632,0.0,0.18811599473710228,0.18811599473710228,0.1881159947371022
2025,DUB,19,0,0.0,0.0,,94.76315789473684,94.76315789473684,0.0,0.1594111650947454,0.1594111650947454,0.1594111650947454
2025,HTA,17,0,0.0,0.0,,95.6578947368421,95.6578947368421,0.0,0.26246445993989664,0.26246445993989664,0.2624644599398968
2025,IST,17,0,0.0,0.0,,82.8157894736842,82.8157894736842,0.0,0.27906580199633013,0.27906580199633013,0.2790658019963303
2025,MAD,16,0,0.0,0.0,,100.0817298245614,100.0817298245614,0.0,0.07842950467979026,0.07842950467979026,0.0784295046797904
2025,MCO,13,0,0.0,0.0,,103.07894736842105,103.07894736842105,0.0,0.04511461935469052,0.04511461935469052,0.0451146193546905
2025,MIL,18,0,0.0,0.0,,93.60526315789474,93.60526315789474,0.0,0.15304510324530152,0.15304510324530152,0.1530451032453017
2025,MUN,16,0,0.0,0.0,,82.97368421052632,82.97368421052632,0.0,0.37845531741834737,0.37845531741834737,0.3784553174183473
2025,OLY,20,0,0.0,0.0,,106.4736842105263,106.4736842105263,0.0,0.12276067974155969,0.12276067974155969,0.1227606797415596
2025,PAM,17,0,0.0,0.0,,99.60526315789473,99.60526315789473,0.0,0.12978818295478067,0.12978818295478067,0.1297881829547806
2025,PAN,18,0,0.0,0.0,,96.76315789473682,96.76315789473682,0.0,0.19897675622242694,0.19897675622242694,0.1989767562224269
2025,PAR,20,0,0.0,0.0,,84.18421052631577,84.18421052631577,0.0,0.314837188094512,0.314837188094512,0.3148371880945115
2025,PRS,16,0,0.0,0.0,,89.39473684210526,89.39473684210526,0.0,0.2064771164127217,0.2064771164127217,0.2064771164127214
2025,RED,17,0,0.0,0.0,,89.88187017543859,89.88187017543859,0.0,0.3047750471446491,0.3047750471446491,0.3047750471446491
2025,TEL,16,0,0.0,0.0,,96.39473684210526,96.39473684210526,0.0,0.16115657667025385,0.16115657667025385,0.1611565766702538
2025,ULK,17,0,0.0,0.0,,83.10526315789473,83.10526315789473,0.0,0.24902937590867968,0.24902937590867968,0.2490293759086796
2025,VIR,16,0,0.0,0.0,,85.94736842105263,85.94736842105263,0.0,0.27660301422797917,0.27660301422797917,0.2766030142279791
2025,ZAL,14,0,0.0,0.0,,96.76315789473685,96.76315789473685,0.0,0.15597033523634973,0.15597033523634973,0.1559703352363497
