season,club,side,pc,e_lp,e_scored,ppm_true,avail_true
2024,ASV,cap_noshape,10400,10.15285,1.8823529411764706,0.22085889570552147,0.058823529411764705
2024,ASV,cap_noshape,11199,27.07555,3.764705882352941,0.5431034482758622,0.11764705882352941
2024,ASV,cap_noshape,11209,0.0,0.0,0.15316541865214434,0.7941176470588235
2024,ASV,cap_noshape,12201,27.408529,27.408529,0.6597066776498397,0.9705882352941176
2024,ASV,cap_noshape,1518,0.0,0.0,0.21505376344086022,0.9411764705882353
2024,ASV,cap_noshape,4887,25.592786,25.592786,0.6385494678754433,1.0
2024,ASV,cap_noshape,6540,26.669088,26.669088,0.5786739365258989,0.8529411764705882
2024,ASV,cap_noshape,7200,28.613482,21.647058823529413,0.6028482395084022,0.6764705882352942
2024,ASV,cap_noshape,7230,27.5273,23.529411764705884,0.4719119534642379,0.7352941176470589
2024,ASV,cap_noshape,8829,26.960414,26.960414,0.532901251237735,1.0
2024,ASV,cap_noshape,8850,0.0,0.0,0.16432217104444166,0.4117647058823529
2024,ASV,cap_noshape,LUO,0.0,0.0,0.24261275272161742,0.29411764705882354
2024,ASV,cap_shape,11199,27.07555,3.764705882352941,0.5431034482758622,0.11764705882352941
2024,ASV,cap_shape,11214,15.76557,15.76557,0.5621728245201426,0.5882352941176471
2024,ASV,cap_shape,12201,27.408529,27.408529,0.6597066776498397,0.9705882352941176
2024,ASV,cap_shape,1518,0.0,0.0,0.21505376344086022,0.9411764705882353
2024,ASV,cap_shape,3469,27.623572,27.623572,0.8047690014903129,0.9411764705882353
2024,ASV,cap_shape,4887,22.824702,22.824702,0.6385494678754433,1.0
2024,ASV,cap_shape,7230,18.918421,18.918421,0.4719119534642379,0.7352941176470589
2024,ASV,cap_shape,8099,7.3787281,7.3787281,0.38175568611199145,1.0
2024,ASV,cap_shape,8829,21.473787,21.473787,0.532901251237735,1.0
2024,ASV,cap_shape,8850,0.0,0.0,0.16432217104444166,0.4117647058823529
2024,ASV,cap_shape,8985,15.76557,15.76557,0.39459588144268537,0.7352941176470589
2024,ASV,cap_shape,12317,15.76557,0.9411764705882353,-0.5240174672489083,0.029411764705882353
2024,ASV,club,10316,11.457352941176472,11.457352941176472,0.187395713002182,0.7941176470588235
2024,ASV,club,10545,21.328921568627454,21.328921568627454,0.5653742731723012,0.9705882352941176
2024,ASV,club,11225,16.83627450980392,16.83627450980392,0.3196878821405695,0.7647058823529411
2024,ASV,club,12263,1.0068627450980392,1.0068627450980392,0.2044790652385589,0.14705882352941177
2024,ASV,club,12731,8.019117647058824,8.019117647058824,0.3631028791490923,0.4117647058823529
2024,ASV,club,13371,16.351470588235294,16.351470588235294,0.2662109901969601,1.0
