player_code,club,salary,src,pir_lag_shrunk,el_seasons,model_m,real_m,err
2580,HTA,6000000.0,anchor,13.899362547011716,4,3.159611109865229,6.0,-2.840388890134771
11218,OLY,500000.0,anchor,13.789878724519246,2,3.0284469593310748,0.5,2.5284469593310748
12878,OLY,550000.0,anchor,8.347036643586456,2,1.1827326687512114,0.55,0.6327326687512114
7853,OLY,650000.0,anchor,7.719907795216852,4,1.086520769310342,0.65,0.436520769310342
10392,OLY,700000.0,anchor,6.132325029714371,4,0.8259129164812886,0.7,0.12591291648128866
7982,OLY,975000.0,anchor,8.440831199276332,4,1.2306178542704733,0.975,0.25561785427047334
11194,OLY,1000000.0,anchor,9.969925437060065,3,1.5839412781096538,1.0,0.5839412781096538
8855,OLY,1075000.0,anchor,8.752559729466048,4,1.298702680801027,1.075,0.22370268080102695
7947,OLY,1100000.0,anchor,6.646105830746354,4,0.9025664099451014,1.1,-0.1974335900548987
8829,OLY,1175000.0,anchor,10.135947136545756,4,1.6492798352712914,1.175,0.47427983527129136
9849,OLY,1450000.0,anchor,6.157478866312939,4,0.8295094757303867,1.45,-0.6204905242696133
3941,OLY,1625000.0,anchor,11.777777726922288,4,2.190119987218307,1.625,0.5651199872183068
8811,OLY,1775000.0,anchor,10.14162208093114,4,1.6508974447637872,1.775,-0.12410255523621272
13380,OLY,2300000.0,anchor,10.206652276822938,1,1.6117543953518756,2.3,-0.6882456046481242
3469,OLY,3900000.0,anchor,17.810472455910908,4,6.20945186738409,3.9,2.3094518673840905
1255,OLY,1150000.0,anchor,8.034432817989106,4,1.1471873687027565,1.15,-0.0028126312972434064
4161,HTA,300000.0,anchor,6.556342042990036,2,0.8680504057869373,0.3,0.5680504057869373
9846,HTA,2800000.0,anchor,11.549365031069112,4,2.1053868748659332,2.8,-0.6946131251340666
12788,HTA,2200000.0,anchor,9.657844739252054,2,1.4832902890263346,2.2,-0.7167097109736655
11157,HTA,1500000.0,anchor,12.039373074119016,2,2.2381716085693033,1.5,0.7381716085693033
12096,HTA,1200000.0,anchor,9.311626327332114,1,1.3808679427474158,1.2,0.1808679427474158
10568,HTA,1100000.0,anchor,11.755481576791354,3,2.1562307098588795,1.1,1.0562307098588795
11052,HTA,1200000.0,anchor,6.83994666833417,3,0.9224047556846088,1.2,-0.2775952443153912
12609,HTA,1100000.0,anchor,8.114187883061618,1,1.1228398430254387,1.1,0.022839843025438622
8858,HTA,600000.0,anchor,8.369278230959338,1,1.1734246993132722,0.6,0.5734246993132722
11948,BAS,1200000.0,external,8.370438338974072,3,1.2015510148685888,1.2,0.0015510148685888847
7230,BAS,1100000.0,external,11.02988383085528,4,1.9246836043294024,1.1,0.8246836043294024
12080,BAS,980000.0,external,8.678628211099356,3,1.2672528084906467,0.98,0.2872528084906467
