club,season,player,salary,basis,source,yr,last,usage
Olimpia Milano,2025-2026,Nikola Mirotić / ניקולה מירוטיץ',3000000.0,Net,basketnews/eurohoops,2025,MIROTIC,calibrate
AS Monaco,2025-2026,Mike James / מייק ג'יימס,3000000.0,Net,basketnews/eurohoops,2025,JAMES,calibrate
Fenerbahçe,2025-2026,Nigel Hayes-Davis / נייג'ל הייז-דייויס,2500000.0,Net,basketnews/eurohoops,2025,HAYESDAVIS,calibrate
Anadolu Efes,2025-2026,Darius Thompson / דריוס תומפסון,2500000.0,Net,basketnews/eurohoops,2025,THOMPSON,calibrate
Fenerbahçe,2025-2026,Wade Baldwin / ווייד בולדווין,2400000.0,Net,basketnews/eurohoops,2025,BALDWIN,calibrate
Panathinaikos,2024-2025,Lorenzo Brown / לורנזו בראון,2100000.0,Net,basketnews/eurohoops,2024,BROWN,calibrate
Panathinaikos,2024-2025,Juancho Hernangómez / חואנצ'ו הרננגומס,2250000.0,Net,basketnews/eurohoops,2024,HERNANGOMEZ,calibrate
Virtus Bologna,2024-2025,Tornike Shengelia / טורניקה שנגליה,2100000.0,Net,basketnews/eurohoops,2024,SHENGELIA,calibrate
Virtus Bologna,2024-2025,Marco Belinelli / מרקו בלינלי,1850000.0,Net,basketnews/eurohoops,2024,BELINELLI,calibrate
Olympiacos,2024-2025,Moustapha Fall / מוסטפא פאל,1700000.0,Net,basketnews/eurohoops,2024,FALL,test
Panathinaikos,2024-2025,Jerian Grant / ג'ריאן גרנט,1050000.0,Net,basketnews/eurohoops,2024,GRANT,calibrate
AS Monaco,2024-2025,Nick Calathes / ניק קלאת'ס,1500000.0,Net,basketnews/eurohoops,2024,CALATHES,calibrate
AS Monaco,2024-2025,Jordan Loyd / ג'ורדן לויד,1200000.0,Net,basketnews/eurohoops,2024,LOYD,calibrate
Bayern Munich,2024-2025,Shabazz Napier / שבאז נאפייר,1300000.0,Net,basketnews/eurohoops,2024,NAPIER,calibrate
Panathinaikos,2024-2025,Cedi Osman (אומורויי עותמאן),1500000.0,Net,basketnews/eurohoops,2024,OSMAN,calibrate
Olympiacos,2024-2025,Thomas Walkup / תומאס ווקאפ,1300000.0,Net,basketnews/eurohoops,2024,WALKUP,test
Crvena Zvezda,2024-2025,Rokas Giedraitis / רוקאס גיידראיטיס,1200000.0,Net,basketnews/eurohoops,2024,GIEDRAITIS,calibrate
Fenerbahçe,2024-2025,Nicolò Melli / ניקולו מלי,1300000.0,Net,basketnews/eurohoops,2024,MELLI,calibrate
Dubai BC,2024-2025,Cliff Alexander / קליף אלכסנדר,1200000.0,Net,basketnews/eurohoops,2024,ALEXANDER,calibrate
ASVEL,2024-2025,Nando De Colo  /ננדו דה קולו ,1100000.0,Net,basketnews/eurohoops,2024,COLO,calibrate
ASVEL,2024-2025, Paris Lee פאריס לי,650000.0,Net,basketnews/eurohoops,2024,LEE,calibrate
