a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
ASV,BAR,0.8771214094729326,8.581513162073337,0.3858433500282219,0.2848891738967032,0,0,-1.7968114279974612
ASV,BAS,0.9091669970755452,8.641405251654044,0.3696765265717974,0.22768086205586918,0,0,-1.693452083222657
ASV,DUB,0.8768061657065386,8.512922877589842,0.3791938931553472,0.3288566501057083,1,0,-1.9151817655789904
ASV,HTA,0.8856928007742092,8.616090879267265,0.3746863462976902,0.2829073867898213,0,1,-1.7371386027881008
ASV,IST,0.7471167910288056,7.839953003195725,0.38435435732467027,0.41024814627916173,0,0,-3.0765659443164277
ASV,MAD,0.886521261937328,8.083745794152156,0.3798709605145814,0.3080119934936325,0,0,-2.655838210312058
ASV,MCO,0.8699731867718452,8.59231446344014,0.3866898368668653,0.3050018527974489,0,0,-1.7781709791534868
ASV,MIL,0.8651319936491424,8.610832485841836,0.3866898368668653,0.3107080360650665,0,0,-1.7462133253904581
ASV,MUN,0.8974939501413522,8.06649829950063,0.3737684557210939,0.32302917760262667,0,0,-2.685603238693418
ASV,OLY,0.9253730735837375,7.353289091838379,0.3657808590779423,0.3191587454091256,0,0,-3.9164308305741673
ASV,PAM,0.7982416269503199,8.550724478862943,0.3771035187687986,0.4025389711450989,0,0,-1.8499452916743513
ASV,PAN,0.8757843295799225,8.637659721399658,0.3466054024605737,0.29336056666055804,0,0,-1.6999159677796636
ASV,PAR,0.8477331997248558,8.167480491797955,0.38635513325545134,0.31166247473178915,0,0,-2.511332257285933
ASV,PRS,0.901983964258265,8.654573700959867,0.364678984320805,0.21961946789769482,0,0,-1.6707265062478214
ASV,RED,0.8750099143499234,8.63958534960366,0.38340496746118297,0.29999367239035735,0,0,-1.6965927965422103
ASV,TEL,0.8742412605693151,8.658772255519661,0.37552263943613456,0.2918857367706185,0,0,-1.6634808106753398
ASV,ULK,0.905086945062384,8.429696570216542,0.38340496746118297,0.22453026966731374,0,0,-2.058810359243917
ASV,VIR,0.9036502510741051,8.591853369191442,0.364678984320805,0.24854022804021583,0,0,-1.7789667169505554
ASV,ZAL,0.8059906542408203,8.537192784906438,0.37182554108335314,0.3672361175698073,0,0,-1.8732977415693053
BAR,BAS,0.8470143990702808,10.148321493209782,0.4389447498768205,0.2473952037477366,0,0,0.9071229918517807
BAR,DUB,0.8089193059745797,9.988252390220433,0.44080968287259964,0.3199259154570696,1,0,0.6308822108154937
BAR,HTA,0.8251440620810023,10.093237878836781,0.43628872538323954,0.28187809363887073,0,1,0.8120619190243047
BAR,IST,0.6953045922535132,9.552796325866103,0.44631627834737336,0.3991239770299301,0,0,-0.12061024511606908
BAR,MAD,0.8156806506387491,9.587641695297645,0.44150442480241703,0.30460796360161374,0,0,-0.060475516505091274
BAR,MCO,0.8083887824341334,10.068001331512784,0.449397148131578,0.30354947447332276,0,0,0.7685097068031609
BAR,MIL,0.8028832581278224,10.130634161240044,0.449397148131578,0.30854968195880095,0,0,0.8765989100238624
BAR,MUN,0.819873105346757,9.726730413981997,0.44193234009413374,0.3058782945145458,0,0,0.17955816623041163
BAR,OLY,0.8289225521444671,8.94152022429861,0.42766552444037825,0.31033036452067714,0,0,-1.1755258070347057
BAR,PAM,0.7290168886529106,10.025647542255825,0.44431989647395587,0.3969425103625903,0,0,0.6954172510719189
BAR,PAN,0.8112983200444434,10.117526244497027,0.40977418173774244,0.29164420283739156,0,0,0.8539777976965779
BAR,PAR,0.7942671956681929,9.804066579904674,0.44882856810757427,0.3013111271316948,0,0,0.3130217921136267
BAR,PRS,0.8464635259322415,10.139440124561094,0.43524456823692464,0.23625059462329578,0,0,0.8917958852061727
BAR,RED,0.8139171326170653,10.119815574324129,0.4452508982014917,0.2974373153838575,0,0,0.8579286304786569
BAR,TEL,0.8098046181963935,10.152948975471858,0.44319504721739295,0.29623041390382077,0,0,0.9151089134970883
BAR,ULK,0.8775747553640137,10.002368108576754,0.4452508982014917,0.1987062128119709,0,0,0.6552425463881726
BAR,VIR,0.8342786279916875,10.118330398237083,0.43524456823692464,0.2663373574274148,0,0,0.8553655736825598
