tag,n,s_raw,s_par,ratio
שלוש עונות,55,0.7388226607945755,0.5525091157123592,0.7478237268983557
2019,17,0.7211724565353146,0.6037148407229525,0.8371296425037408
2024,18,0.6679498215436076,0.24532829590217553,0.3672855175486548
2025,20,0.8170985310795565,0.6837151099641091,0.8367596855923602
