season,team,score,name_he,name_el,player_code,il_games,il_min,il_pir,el_games,el_min,el_pir
2025,TEL,0.571,אורן סהר,"HANKINS, ZACHARY",13304,18,9.0,4.4,10.0,10.301666666666668,4.6
2025,HTA,0.462,עוז בלייזר,"CABOCLO, BRUNO",12096,18,14.3,7.3,11.0,12.73030303030303,7.0
2025,HTA,0.462,יפתח זיו,"RANDOLPH, LEVI",13382,19,13.5,7.1,8.0,10.179166666666667,0.875
2022,TEL,0.333,גיא פניני,"HOLLINS, AUSTIN",9917,25,13.2,3.8,19.0,9.706140350877192,0.9473684210526316
