Season,Player_ID,games_bx,minutes_bx,pir_bx
2016,P005838   ,34,1137.3666666666666,601
2016,P005846   ,17,15.850000000000001,4
2016,P005881   ,25,358.6666666666667,118
2016,P005918   ,33,660.5333333333333,181
2016,P005927   ,36,742.4499999999999,492
2016,P005929   ,35,695.2333333333333,464
2016,P005938   ,34,764.0166666666667,269
2016,P005942   ,25,467.0333333333333,58
2016,P005945   ,17,320.05,75
2016,P005984   ,34,289.3833333333333,131
2016,P005985   ,25,563.8,328
2016,P006013   ,3,0.0,0
2016,P006195   ,23,189.26666666666665,50
2016,P006302   ,2,0.0,0
2016,P006338   ,15,245.41666666666666,35
2016,P006360   ,20,45.13333333333333,-3
2016,P006385   ,30,334.4,146
2016,P006399   ,30,60.08333333333333,38
2016,P006420   ,30,346.7833333333333,64
2016,P006421   ,30,814.1666666666666,301
2016,P006433   ,30,625.0333333333333,216
2016,P006435   ,15,129.86666666666667,17
2016,P006450   ,32,652.0333333333333,298
2016,P006476   ,10,78.66666666666667,30
2016,P006503   ,31,993.85,641
2016,P006533   ,26,672.2166666666667,378
2016,P006536   ,30,774.2166666666667,309
2016,P006546   ,32,464.0833333333333,107
2016,P006555   ,27,406.2,183
2016,P006590   ,30,606.6,251
2016,P006594   ,12,8.366666666666667,0
2016,P006599   ,30,694.3666666666667,285
2016,P006614   ,33,933.0166666666667,515
2016,P006641   ,6,0.08333333333333333,0
2016,P006648   ,2,0.0,0
2016,P006657   ,6,78.31666666666666,18
2016,P006661   ,31,781.6333333333333,345
2016,P006668   ,14,222.08333333333331,69
2016,P006702   ,3,0.0,0
2016,P006705   ,2,0.0,0
2016,P006781   ,2,0.0,0
2016,P006919   ,1,8.1,1
2016,P007032   ,29,282.9166666666667,105
2016,P007050   ,14,306.05,104
2016,P007051   ,7,0.0,0
2016,P007121   ,10,182.68333333333334,56
2016,P007122   ,35,0.0,0
2016,P007148   ,5,36.75,42
2016,P007182   ,37,670.0166666666667,399
2016,P007199   ,4,5.316666666666666,0
2016,P007200   ,33,954.55,478
2016,P007201   ,33,772.75,494
2016,P007230   ,27,64.03333333333333,17
2016,P007355   ,14,12.983333333333334,-1
2016,P007356   ,8,65.2,24
2016,P007394   ,5,59.61666666666667,5
2016,P007395   ,16,0.0,0
