player_code,season,avail_hat,frac_actual
10106,2025,0.7436047542987407,0.02631578947368421
10316,2025,0.7455677399829463,0.8157894736842105
10390,2025,0.8212178312315255,0.9210526315789473
10391,2025,0.8542153147224603,0.9736842105263158
10392,2025,0.5215693001386505,0.18421052631578946
10393,2025,0.7302701868165816,1.0
10444,2025,0.7752687120061439,0.8947368421052632
10545,2025,0.8337814464745489,0.9473684210526315
10568,2025,0.8336240507855213,1.0
10750,2025,0.5330361577385407,0.6842105263157895
10781,2025,0.8125587016253373,0.42105263157894735
11051,2025,0.7549300441398614,0.8157894736842105
11052,2025,0.5261880216008502,0.3684210526315789
11064,2025,0.8084707313642593,0.5789473684210527
11078,2025,0.8654061630333129,1.0
11085,2025,0.8143374900563378,0.7368421052631579
11157,2025,0.7868355921272845,0.8421052631578947
11193,2025,0.8126106568995386,1.0
11194,2025,0.8081868482203727,1.0
11196,2025,0.8334317099038143,0.868421052631579
11199,2025,0.6042712139806296,0.6842105263157895
11201,2025,0.41110144137006444,0.868421052631579
11204,2025,0.8586435901519265,0.9473684210526315
11205,2025,0.8069753445955891,0.7894736842105263
11209,2025,0.652114913889631,0.6578947368421053
11212,2025,0.8277794738080454,0.9736842105263158
11214,2025,0.7470213754538371,0.21052631578947367
11218,2025,0.854586142532335,0.02631578947368421
11219,2025,0.8402762842865027,1.0
11221,2025,0.4410344068226093,0.10526315789473684
11226,2025,0.8388287318802431,1.0
11231,2025,0.8319589577595983,1.0
11244,2025,0.7271871047577348,0.9210526315789473
11247,2025,0.7212472022708977,0.868421052631579
11286,2025,0.8334402185935895,0.7631578947368421
1133,2025,0.8367657187749777,0.8421052631578947
11442,2025,0.41846064745830247,0.34210526315789475
11816,2025,0.5866571010895401,0.7105263157894737
11836,2025,0.7089857468415077,0.9736842105263158
11935,2025,0.4605226418966564,0.13157894736842105
11948,2025,0.8333196601818487,0.6052631578947368
11949,2025,0.5244343346020646,0.5526315789473685
11980,2025,0.6561496696635907,0.34210526315789475
11981,2025,0.8318710961524197,0.7631578947368421
11982,2025,0.7717334364239596,1.0
11983,2025,0.7778250855584298,0.9473684210526315
11987,2025,0.8811545887982702,0.9473684210526315
12044,2025,0.7974760743207796,0.6578947368421053
12080,2025,0.8147679165188448,0.9473684210526315
12096,2025,0.7469451680690404,0.2894736842105263
12167,2025,0.49696541138450645,0.07894736842105263
12201,2025,0.8704404358074701,0.8947368421052632
12365,2025,0.3336927894164837,0.10526315789473684
12515,2025,0.6273371105892975,0.8421052631578947
1255,2025,0.7939938042548483,0.8157894736842105
12585,2025,0.8113541123837134,0.8947368421052632
12597,2025,0.7831180807030503,0.23684210526315788
12608,2025,0.8668249079249126,0.9736842105263158
12609,2025,0.7860709464888845,1.0
12610,2025,0.8641497836856502,0.8421052631578947
12611,2025,0.5853842177770973,0.9473684210526315
12612,2025,0.48347966792303715,0.2894736842105263
12613,2025,0.8633363393875692,0.8157894736842105
12640,2025,0.8293153601834873,0.9736842105263158
12710,2025,0.7998701919676107,0.9473684210526315
12712,2025,0.8687805658276283,1.0
12720,2025,0.8594484835609674,0.9736842105263158
12731,2025,0.6929777547377943,0.8421052631578947
12738,2025,0.7216629815442275,1.0
12742,2025,0.6534705404320231,0.6842105263157895
12745,2025,0.8689974117081743,0.39473684210526316
