season,club,slack,secs,sol_status,proven,lp_obj,lp_obj_base,adv_F,adv_F_base,clipped,n
2024,BAR,0.95,89.81429600715637,1,True,123.8186950232158,124.7903477205273,0.024796533315766034,0.1532311710738962,45.110094705882354,12
2024,BAR,1.05,37.26935839653015,1,True,126.04358439583632,124.7903477205273,0.1284225646146253,0.1532311710738962,29.735105294117645,12
2024,BER,0.95,298.47981309890747,1,True,120.2702287803737,121.53716334416676,0.36242643610160075,0.332054652068299,23.39750046470588,12
2024,BER,1.05,93.53466606140137,1,True,123.01502141955476,121.53716334416676,0.4075059862186836,0.332054652068299,26.216825352941175,12
2024,IST,0.95,95.04059505462646,1,True,123.08222503191999,123.98692441612891,0.06439993236691532,0.0948966299781417,30.639279176470588,12
2024,IST,1.05,36.324275732040405,1,True,125.67119640093043,123.98692441612891,0.05777126162119073,0.0948966299781417,36.94014682352941,12
2024,MUN,0.95,169.78393626213074,1,True,114.34711826717523,115.735075077183,0.011253811232769362,0.0652514226489568,38.363209647058824,12
2024,MUN,1.05,27.966582536697388,1,True,116.74169169897952,115.735075077183,0.059220050113583333,0.0652514226489568,29.842779058823524,12
2024,PAR,0.95,335.47025084495544,1,True,115.69064153160632,116.8419779154898,0.06516379565130048,0.0022499081383935,23.310844117647058,12
2024,PAR,1.05,63.75235199928284,1,True,117.9793899586916,116.8419779154898,0.0372354951954339,0.0022499081383935,41.39636888235294,12
2024,ZAL,0.95,163.44429326057434,1,True,117.0910822177804,118.41466396445544,0.4411091440618897,0.5135722708750945,11.287659647058824,12
2024,ZAL,1.05,57.23016023635864,1,True,119.54242755437978,118.41466396445544,0.3454125650422082,0.5135722708750945,23.310844117647058,12
2025,DUB,0.95,43.21760869026184,1,True,124.69370048455815,125.66229859607692,0.0786239796538244,0.1594111650947454,26.154865736842105,12
2025,DUB,1.05,12.820818662643433,1,True,126.09498969700245,125.66229859607692,0.16204167814189652,0.1594111650947454,31.513355421052633,12
2025,MCO,0.95,37.32018828392029,1,True,123.73020241346103,124.83826209606995,0.03763560001267452,0.0451146193546905,27.090698315789474,12
2025,MCO,1.05,6.100452184677124,1,True,125.74148508461168,124.83826209606995,0.04034891809133834,0.0451146193546905,31.09167142105263,12
2025,OLY,0.95,0.9704015254974365,1,True,129.1195761958396,129.32224174691,0.1267271577676199,0.1227606797415596,27.699821315789478,12
2025,OLY,1.05,0.6036734580993652,1,True,129.48559927299945,129.32224174691,0.1394190410472329,0.1227606797415596,26.504651736842106,13
2025,PAM,0.95,80.4582736492157,1,True,120.14415670609358,121.21805580558392,0.11771791103187934,0.1237296011474609,2.492975157894737,12
2025,PAM,1.05,42.525325298309326,1,True,122.16660099319871,121.21805580558392,0.12179133352005866,0.1237296011474609,1.0691105789473703,12
2025,PRS,0.95,113.6585738658905,1,True,116.21491069996767,117.23129566834636,0.2772835203704973,0.2064771164127214,3.5124831578947386,12
2025,PRS,1.05,32.4841570854187,1,True,118.23435647346774,117.23129566834636,0.2911857108925371,0.2064771164127214,3.5124831578947386,12
2025,ULK,0.95,61.638097524642944,1,True,121.91826934372457,123.03361156288344,0.3141123743522263,0.2490293759086796,26.945893315789476,12
2025,ULK,1.05,14.612561464309692,1,True,124.37542364536426,123.03361156288344,0.24066760129790232,0.2490293759086796,30.017134894736845,12
