player_code,player_name,position
7483,"DOSSOU-YOVO, MATHIS",F
13027,"ACCORSI, MATTEO",G
14133,"IROEGBU, IKE",G
13377,"PAUL, MBIYA",C
12100,"NUFER, ANTON",G
11925,"WALLACE, TYRONE",G
13666,"SMITH JR, DENNIS",G
12977,"MIKALAUSKAS, KAJUS",G
6277,"TOTE, LEONARDO",C
4451,"KOUZELOGLOU, IOANNIS",C
14121,"OMORUYI, CLIFFORD",C
5379,"CANCAR, VLATKO",F
14122,"NETZIPOGLOU, OMIROS",G
14177,"RYAN, MATT",F
12943,"MIJAILOVIC, UROS",F
12997,"MUURINEN, MIIKKA",F
8174,"EKSIOGLU, MERT",G
10105,"ALMANSA, IZAN",F
3836,"MICHINEAU, DAVID",G
7855,"KABA, ALPHA",F
12126,"VOLF, IVAN",G
13505,"NETO, RAUL",G
12099,"GROSBER, DORIAN",F
13514,"MENSAH, NATHAN",C
10788,"QUEREJETA, JOSEBA",G
12168,"GUEYE, SIDI",C
12317,"VILLAR, RAUL",G
14105,"BOL, JUOM MAKER",C
11330,"BUIKA, DOVYDAS",G
12113,"LONATI, ACHILLE",G
6273,"VISCONTI, RICCARDO",G
12181,"JUZENAS, MANTAS",G
14128,"KUSTURICA, NIKOLA",F
12199,"DURU, DECLAN",F
11686,"RADOSIC, OGNJEN",G
13555,"GRINVALDS, GUNARS",F
