player_code,season,ppm_hat,ppm_sd,gap,ppm_lag_shrunk,ppm_actual
10106,2025,0.46941663027241615,0.08971663147816611,1.0,0.45913462311087616,-0.379746835443038
10316,2025,0.30015778755012695,0.09335817375378767,1.0,0.32684801963312243,0.19115237575095578
10390,2025,0.4279763406523842,0.0790139848185822,1.0,0.43449262821980783,0.41470104223806914
10391,2025,0.4904130126917668,0.0683467135186521,1.0,0.4748821358542912,0.3810238843789593
10392,2025,0.4124132689087922,0.13332263845748965,1.0,0.46294227820008693,0.0
10393,2025,0.37690165628232536,0.09624530141849075,2.0,0.4007936852233789,0.45079949483057546
10444,2025,0.4326246034862751,0.07475039615294145,2.0,0.44811907481000285,0.466680312289833
10545,2025,0.543720251134959,0.07503438776189246,1.0,0.5202637218728889,0.4939396062495621
10568,2025,0.498112002121154,0.0690419397495629,2.0,0.49137771748932785,0.5809292238943284
10750,2025,0.4325174129692666,0.08698226147063873,2.0,0.42741909449054294,0.36528590187417936
10781,2025,0.3355726589280786,0.07030247063956069,1.0,0.35747407942212284,0.5074320861096874
11051,2025,0.4843621851965749,0.09147691210419563,1.0,0.4828710418953694,0.43240070436313827
11052,2025,0.4219317164520796,0.1029995623279878,1.0,0.4402692856248537,0.3049907578558226
11064,2025,0.3980561653616431,0.07494687679792256,1.0,0.3947721010366828,0.27560863573725314
11078,2025,0.47126766193254055,0.06780885406170846,1.0,0.45905567301554073,0.5535181430946905
11085,2025,0.5028601723537209,0.08155631299310036,1.0,0.4864939398520002,0.3544402675389347
11157,2025,0.5837599822762636,0.07970970892336587,2.0,0.5690600227138183,0.5744125326370757
11193,2025,0.48158757999498925,0.07139488740987979,1.0,0.46757586275962165,0.455079006772009
11194,2025,0.6514677110623572,0.07973330041332259,1.0,0.6054782881376737,0.6540608142161165
11196,2025,0.619345080464843,0.07588846766390372,1.0,0.5837223274907819,0.7660149215333163
11199,2025,0.45980708903111017,0.08019492960064056,1.0,0.4615776009159064,0.6372534436081276
11201,2025,0.37300080699787186,0.14631432043521503,2.0,0.42135574536740256,0.3010571472345641
11204,2025,0.4026158668241339,0.06825322472025319,1.0,0.4139147932299416,0.3499706400469759
11205,2025,0.3589119389672284,0.07276483893077765,1.0,0.37740763780480285,0.36620964175143744
11209,2025,0.3018263820483932,0.13341770735227662,1.0,0.3582864185843125,0.20315145201198076
11212,2025,0.5574861804065512,0.07050434378353167,1.0,0.526716144865776,0.48772763262074426
11214,2025,0.5068740769090966,0.07504665918623829,1.0,0.5041849123529717,0.4418604651162791
11218,2025,0.6442873130397333,0.06692813217171065,2.0,0.5961664690838575,0.0
11219,2025,0.5008481992907132,0.07268973683776643,1.0,0.48767733220000653,0.6157734505141018
11221,2025,0.40997207953473563,0.13671837910621168,1.0,0.4509373466724565,0.3967670830271859
11226,2025,0.4592260809661662,0.06839032644574863,1.0,0.4448487424331099,0.49620951068228814
11231,2025,0.3961669629464031,0.07335465780280084,1.0,0.41358613240827163,0.4523622725272203
11244,2025,0.3849241529217327,0.09006555557427923,1.0,0.40812725972742675,0.48653500897666063
11247,2025,0.3490937590833722,0.09552667919196192,1.0,0.3870247415619156,0.38786865210819155
