k,cap,mean,attained_by,model_allows,slack,n_club_seasons
1,31.16127450980392,26.29589919070121,2024 ULK,32.0,1.0,38
2,57.616176470588236,49.65343001466514,2024 PAN,64.0,1.0,38
3,83.98872549019607,71.19192534354463,2024 PAN,96.0,1.0,38
4,104.93235294117648,90.78002077562326,2024 PAN,128.0,1.0,38
5,126.4061403508772,109.14881049372659,2025 MCO,160.0,1.0,38
6,145.32456140350877,125.71396583564176,2025 MCO,192.0,1.0,38
7,163.2842105263158,140.27658600836457,2025 HTA,200.0,1.0,38
8,176.85570175438596,153.36851610450273,2025 MCO,200.0,1.0,38
