club,budget,n,q_club_fair,q_eng,gap,gap_pct
ASV,13.265329581029935,15,89.81307546069684,116.60002375386537,26.786948293168535,0.2982522105580361
BAR,25.901019889980155,16,104.53839444260251,138.22877722323065,33.69038278062814,0.3222775991564139
MAD,23.63641824224325,16,109.77118810767342,136.20957432235863,26.43838621468521,0.24084995954268135
MCO,24.86130599918853,13,104.1751332397116,137.48832085320396,33.31318761349236,0.3197806096089864
MUN,14.338965331633975,16,85.71472781450912,119.43363456834794,33.71890675383882,0.3933852164450454
PRS,12.943051345800665,16,89.0464289215125,115.74643493475504,26.700006013242543,0.2998436471470015
TEL,15.907318340947885,16,96.13154812917728,123.87591202344213,27.74436389426485,0.2886083126112066
VIR,15.11244425525697,16,96.27073550816502,121.8284790690408,25.557743560875778,0.2654778051291417
ZAL,14.746027802402827,14,91.41177580804434,120.8113465073082,29.39957069926386,0.32161688622043666
