budget_m,budget_rel,q,q_pred,n,spent_rel,used_pct,usage_w,marginal,marginal_pred,capped,season
10.0,10.0,101.20476973187458,108.42084110655944,12,9.958711854698485,0.9958711854698485,19.99999998775159,,,True,2024
11.0,11.0,109.27414784882589,111.32348283858936,12,10.971039406092915,0.9973672187357195,19.88723100960628,8.069378116951313,2.9026417320299203,True,2024
12.0,12.0,105.94526262454713,114.4588674563129,12,11.996935706670662,0.9997446422225552,20.000000028815432,-3.328885224278764,3.1353846177235454,True,2024
13.0,13.0,108.98492036494298,116.01739918743128,12,12.924841940175451,0.994218610782727,19.739508067143245,3.039657740395853,1.5585317311183786,True,2024
14.0,14.0,101.8446159540593,117.33171454867646,12,13.858256512253046,0.9898754651609318,19.872947522877862,-7.140304410883687,1.3143153612451783,True,2024
15.0,15.0,113.98985471150077,119.65871121451107,12,14.980409508219541,0.9986939672146361,20.000000011635123,12.145238757441476,2.3269966658346135,True,2024
16.0,16.0,113.6648020212324,120.47356734109665,12,15.96173100991086,0.9976081881194288,19.82795426937155,-0.3250526902683646,0.8148561265855818,True,2024
17.0,17.0,106.10648051889525,122.34209311035048,12,16.789603215020136,0.9876237185305963,20.000000005416474,-7.558321502337151,1.8685257692538215,True,2024
18.0,18.0,107.31931902592557,123.53712190599374,12,17.99550822760733,0.9997504570892962,20.000000006883894,1.2128385070303125,1.1950287956432675,True,2024
19.0,19.0,118.46266762027302,125.29542985871957,12,18.997050630734076,0.9998447700386356,19.851632329315574,11.143348594347458,1.7583079527258292,True,2024
20.0,20.0,120.56996637631987,126.08952072053881,12,19.968663090558685,0.9984331545279342,19.66897288675053,2.107298756046845,0.7940908618192424,True,2024
21.0,21.0,118.28988231323277,127.53376580796807,12,20.999392766188034,0.9999710841041921,19.99999999814728,-2.280084063087102,1.4442450874292518,True,2024
22.0,22.0,121.27208536604287,128.3542066879196,12,21.8054896270508,0.9911586194114,19.999999996113086,2.9822030528101067,0.8204408799515335,True,2024
23.0,23.0,120.94950993245223,128.30911247928628,12,22.673329486170623,0.9857969341813314,19.99999999070629,-0.322575433590643,-0.0450942086333157,True,2024
24.0,24.0,122.97727989758809,128.26369048280057,13,23.77266956149664,0.9905278983956934,19.99999999070629,2.0277699651358603,-0.045421996485714544,True,2024
25.0,25.0,122.97727989758809,128.26369048280057,13,23.77266956149664,0.9509067824598657,19.99999999070629,0.0,0.0,True,2024
26.0,26.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.9437792801483622,19.99999999070629,0.10561849915184496,0.590569850095477,True,2024
27.0,27.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.9088244919947192,19.99999999070629,0.0,0.0,True,2024
28.0,28.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.8763664744234791,19.99999999070629,0.0,0.0,True,2024
29.0,29.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.8461469408226695,19.99999999070629,0.0,0.0,True,2024
30.0,30.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.8179420427952472,19.99999999070629,0.0,0.0,True,2024
31.0,31.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.7915568156083037,19.99999999070629,0.0,0.0,True,2024
32.0,32.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.7668206651205443,19.99999999070629,0.0,0.0,True,2024
33.0,33.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.7435836752684065,19.99999999070629,0.0,0.0,True,2024
34.0,34.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.721713567172277,19.99999999070629,0.0,0.0,True,2024
35.0,35.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.7010931795387834,19.99999999070629,0.0,0.0,True,2024
36.0,36.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.6816183689960393,19.99999999070629,0.0,0.0,True,2024
37.0,37.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.6631962509150653,19.99999999070629,0.0,0.0,True,2024
38.0,38.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.6457437179962477,19.99999999070629,0.0,0.0,True,2024
39.0,39.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.6291861867655748,19.99999999070629,0.0,0.0,True,2024
40.0,40.0,123.08289839673994,128.85426033289605,14,24.538261283857416,0.6134565320964354,19.99999999070629,0.0,0.0,True,2024
10.0,10.0,112.05985114487558,111.93130863472301,12,9.9736071289234,0.99736071289234,24.563849075132364,,,False,2024
